radio_frequency,B_field,capture_rad,ang_class,dist_from_obs_ly,star1_redshift,luminosity,star2_redshift,ext_temp,b_class,target
28.74470619,3.59E-09,19.59249562,alpha,,23.99494965,,34.93989978,25.51154251,3,Alpha Boreas
44.16633131,4.51E-09,43.00467433,alpha,28.39713388,28.94304226,4230.266381,28.18109725,26.04787965,2,Alpha Boreas
30.83489655,4.41E-09,33.42996973,alpha,,37.99918079,6237.993588,29.57762791,30.74824414,2,Beta Eioneous
17.47982654,3.54E-09,12.97614978,alpha,41.98677339,17.68320433,,40.62301756,29.48846859,3,Zeta Draconis
30.26845156,3.80E-09,26.45823201,alpha,11.54862783,21.4986492,6237.993588,25.97643946,27.16916868,2,Zeta Draconis
45.75817171,4.79E-09,33.06914054,alpha,35.70314176,36.08285869,2774.746406,20.98301989,16.98938748,2,Beta Eioneous
44.16633131,3.31E-09,9.7965166,alpha,28.95575545,12.13127483,2337.382377,19.18556848,33.61204563,2,Zeta Draconis
36.05088135,3.97E-09,30.85781768,alpha,19.67417927,30.44504735,4683.183157,27.9999558,33.49245168,1,Gamma Saggita
28.52324877,2.62E-09,41.52226465,alpha,33.06675412,41.94255153,4581.006438,19.18556848,16.06637996,,Alpha Hemithea
29.49168615,3.81E-09,28.9774153,alpha,26.1424046,34.82474922,3212.742272,30.58491331,23.54791984,2,Alpha Boreas
44.16633131,3.27E-09,14.57552027,alpha,14.94856533,20.03236889,6237.993588,29.08282992,29.088552,3,Zeta Draconis
31.6399027,3.94E-09,,alpha,15.43980377,27.95981144,2818.571131,32.89673153,17.63298175,3,Alpha Boreas
20.99127763,2.17E-09,,alpha,35.71846384,20.26642926,5348.445509,40.89521476,25.01022679,2,Alpha Hemithea
29.77651378,,20.50114318,alpha,28.51384587,35.19975104,5136.73715,26.58486106,30.05243003,3,Gamma Saggita
24.87789449,,20.55856954,alpha,23.09608797,30.83877897,3918.94883,33.08553725,28.59123327,2,Alpha Boreas
40.98476879,4.22E-09,20.98208619,alpha,40.016547,40.50414122,2861.43732,26.79922908,30.41111362,3,Beta Eioneous
22.41442496,3.35E-09,42.5838475,alpha,40.84820565,23.39675571,6022.284886,35.56529588,33.49245168,,Alpha Hemithea
27.94844303,3.98E-09,43.00467433,alpha,37.95665489,46.9168266,3909.126818,14.89532284,25.70980699,2,Beta Eioneous
45.59253128,4.46E-09,18.43488623,alpha,25.2087802,22.36673865,5944.229969,26.76046265,18.45363656,3,Gamma Saggita
22.88874843,4.29E-09,43.00467433,alpha,25.42146331,23.03343539,1911.438647,40.62301756,27.84807473,3,Zeta Draconis
24.21517591,2.28E-09,34.542336,,27.78391539,27.07287421,5578.704298,,24.89769851,3,Alpha Hemithea
20.18131579,4.83E-09,19.36622726,alpha,41.98677339,20.03236889,5056.985283,29.13873027,24.46252323,3,Alpha Boreas
39.58919177,3.46E-09,23.39598685,alpha,28.28655578,31.13739802,,19.18556848,,2,Gamma Saggita
40.10966941,3.55E-09,25.04862164,alpha,37.26823542,20.03236889,6237.993588,22.55707405,19.66048016,3,Beta Eioneous
27.63914288,2.96E-09,13.27331993,alpha,13.04505726,20.03236889,3376.911818,19.18556848,25.91047447,3,Alpha Boreas
23.34489253,3.96E-09,17.47442836,alpha,20.01206363,18.5587912,3215.304533,21.66594771,28.08142844,3,Zeta Draconis
44.16633131,2.45E-09,36.2082055,alpha,15.69446447,28.07531489,2703.734843,32.42920687,16.26585423,,Alpha Boreas
41.19687791,3.83E-09,43.00467433,,20.10889051,34.13115242,5277.960833,,31.58021566,2,Gamma Saggita
44.16633131,3.48E-09,17.73676274,alpha,23.61564014,27.21142739,5116.249873,,23.12853047,2,Zeta Draconis
21.11282835,4.45E-09,34.871584,alpha,33.02040032,18.25416572,4728.234049,19.18556848,24.63412177,3,Alpha Hemithea
20.18131579,3.39E-09,18.36028019,alpha,13.339561,34.24651869,4161.507787,20.1696266,27.38145824,3,Alpha Boreas
30.54156929,4.45E-09,43.93965151,alpha,33.37630787,,5400.058919,30.84578028,16.51972049,3,Alpha Hemithea
32.08349615,2.92E-09,20.70927257,alpha,30.30299781,28.02234254,3798.151046,17.100284,16.51972049,3,Zeta Draconis
44.16633131,4.45E-09,32.42017451,alpha,17.35671926,35.83555379,3976.936258,41.41724432,34.323271,2,Alpha Boreas
37.84972519,4.82E-09,32.36180472,alpha,34.04564238,35.67485568,6237.993588,21.58864641,33.49245168,2,Beta Eioneous
24.36517313,2.47E-09,41.49586171,alpha,29.41995718,31.44027449,3200.700391,27.65227161,16.51972049,2,Alpha Hemithea
22.053243,3.52E-09,,,35.63590325,41.94255153,,41.70765107,7.734227029,2,Alpha Hemithea
29.78352367,3.47E-09,28.16196674,alpha,41.98677339,21.88371681,6237.993588,,34.87521853,,Zeta Draconis
32.06798627,3.94E-09,25.76399166,alpha,39.3580136,35.65731044,3009.888967,13.62250314,,2,Beta Eioneous
31.77499648,3.84E-09,43.00467433,,29.15025533,42.16793998,4763.994524,39.08974217,23.92006874,,Alpha Boreas
39.67134506,4.02E-09,24.23500753,,29.9674318,32.36832205,3041.655498,11.05716244,25.34812855,3,Beta Eioneous
,4.45E-09,24.38118886,alpha,18.83394431,32.23000396,6051.686912,22.74473516,31.40573464,3,Gamma Saggita
44.16633131,2.91E-09,37.39217666,alpha,30.01877282,28.66364585,4702.336059,,28.58454389,3,Alpha Hemithea
24.96605324,2.79E-09,56.08636638,alpha,40.8983172,41.94255153,5291.081065,33.66896255,23.53459234,3,Alpha Hemithea
44.16633131,,20.56795236,alpha,17.15223368,31.7694153,4151.947887,16.83497326,18.55322475,2,Beta Eioneous
27.70692605,4.45E-09,23.69434783,alpha,19.2191448,38.33395439,2919.028464,19.18556848,17.44504781,3,Alpha Boreas
17.58003207,2.96E-09,36.85494389,alpha,36.84304006,29.22618534,4723.557403,30.44549017,27.87259889,3,Alpha Hemithea
15.03290645,2.02E-09,44.54079361,alpha,17.54151194,35.54558221,2818.571131,36.91472414,23.8521558,2,Alpha Hemithea
46.02014456,3.78E-09,28.99750801,alpha,38.38838485,,2141.311291,31.05320528,24.34624121,2,Beta Eioneous
44.16633131,2.32E-09,46.32752984,,37.01242632,22.5938145,6056.955492,39.70662332,33.49245168,3,Alpha Hemithea
44.16633131,2.73E-09,41.20524495,alpha,27.11261951,13.19278748,,34.60859804,22.35196731,3,Alpha Hemithea
18.10650946,2.77E-09,43.00467433,alpha,15.33418982,31.85903168,3446.220572,33.77962802,18.75029165,2,Alpha Boreas
40.09955562,4.01E-09,27.93702287,alpha,19.67174416,30.96265282,2818.571131,30.26133377,24.19729918,,Gamma Saggita
,3.39E-09,32.43330634,alpha,20.48653144,24.02809726,7046.821915,36.77209951,29.86179209,2,Gamma Saggita
45.45692012,2.48E-09,30.58787309,alpha,27.25553959,35.00584285,5459.883686,30.35073263,32.77497033,3,Gamma Saggita
47.03773862,3.55E-09,26.37381464,alpha,33.63666021,20.03236889,5890.454419,25.5541228,33.49245168,2,Gamma Saggita
